Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Publisher_Count,Folio,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Funding_Ratio,Cluster,TSNE1,TSNE2
"mancilla margalli, . alejandra",121,11,9,6,5,7,UCOL-1020,2009,16,15,True,True,0.5454545454545454,2.0,18.439518,5.024296
"mancilla, alejandra",0,1,1,0,1,1,UCOL-1022,2010,15,15,False,False,0.0,2.0,27.278797,-40.39113
"mancilla, evelyn",65,2,2,0,2,2,UCOL-1023,2014,11,10,True,False,0.0,2.0,4.2861643,-34.46134
"manzo sanchez, gilberto",105,16,14,4,12,10,UCOL-1029,2008,17,15,True,True,0.25,2.0,25.630201,-1.163628
"maravilla valdovinos, jennifer",0,1,1,0,1,1,UCOL-1031,2011,14,10,False,False,0.0,2.0,19.899113,-40.591995
"marco,",9,1,1,0,1,1,UCOL-1033,2010,15,15,False,False,0.0,2.0,26.768871,-39.508965
"marin cardenas, alina",0,2,1,0,2,1,UCOL-1036,2013,12,10,False,False,0.0,2.0,7.5572424,-38.262398
"mario, del toro equihua",0,1,1,0,1,1,UCOL-1038,2008,17,15,False,False,0.0,2.0,41.45259,-26.927013
"marquez, bernardo rincon",0,2,2,0,2,2,UCOL-1044,2004,21,20,False,False,0.0,2.0,35.03118,-14.673002
"martin, miguel vargas",46,10,8,0,10,5,UCOL-1048,2007,18,15,False,True,0.0,2.0,29.999926,-18.531092
"martinez castell, karen",0,1,1,0,1,1,UCOL-1052,2011,14,10,False,False,0.0,2.0,20.476185,-40.88712
"martinez contreras,",78,4,4,1,3,1,UCOL-1053,2002,23,20,True,False,0.25,2.0,24.378147,-7.9764376
"martinez garcia, francisco javier",1,1,1,0,1,1,UCOL-1059,2012,13,10,False,False,0.0,2.0,13.650412,-40.89764
"martinez garza, sandra",31,2,2,1,1,1,UCOL-1060,2006,19,15,False,False,0.5,2.0,13.153546,-1.7776526
"martinez guzman, antar",86,14,12,1,13,11,UCOL-1061,2012,13,10,True,True,0.07142857142857142,2.0,14.010927,-15.792199
"martinez,",8,2,2,0,2,2,UCOL-1076,2005,20,20,False,False,0.0,2.0,35.66561,-15.768826
"martinez, alejandro",23,1,1,0,1,1,UCOL-1077,2015,10,10,False,False,0.0,2.0,-0.6079843,-35.187702
"martinez, diego",86,11,9,4,7,7,UCOL-1079,2011,14,10,True,True,0.36363636363636365,2.0,9.755677,-7.769245
"mata,",132,19,18,4,15,9,UCOL-1086,2007,18,15,True,True,0.21052631578947367,2.0,27.516476,0.1524853
"mcgovern, .",2,1,1,0,1,1,UCOL-1091,2002,23,20,False,False,0.0,2.0,33.688034,-13.16058
"medina cass, aldo",131,2,1,0,2,1,UCOL-1092,2014,11,10,True,False,0.0,2.0,6.1234517,-33.3039
"mena herrera, alfredo",51,3,3,1,2,1,UCOL-1105,2006,19,15,False,False,0.3333333333333333,2.0,17.029408,-6.486845
"mendoza carrera, francisco",37,3,2,1,2,2,UCOL-1113,2007,18,15,False,False,0.3333333333333333,2.0,16.33705,-6.9934716
"mendoza, nicandro farias",1,4,4,0,4,2,UCOL-1121,2006,19,15,False,False,0.0,2.0,34.483612,-18.66629
"messina, .",64,14,9,1,13,7,UCOL-1124,2005,20,20,True,True,0.07142857142857142,2.0,27.662767,-1.879474
"meyer willerer,",167,7,7,2,5,3,UCOL-1125,2005,20,20,True,True,0.2857142857142857,2.0,21.00859,-6.5623403
"michel aceves, alejandro",24,1,1,0,1,1,UCOL-1130,2006,19,15,False,False,0.0,2.0,37.76342,-17.811272
"michel peregrina, martha",49,1,1,0,1,1,UCOL-1132,2008,17,15,False,False,0.0,2.0,37.056232,-28.914429
"michel, erika margarita ramos",2,2,1,0,2,1,UCOL-1133,2005,20,20,False,False,0.0,2.0,35.76344,-15.624534
"millan guerrero, rebeca",227,21,15,0,21,7,UCOL-1134,2002,23,20,True,True,0.0,2.0,29.570557,0.07093913
"mitchell, . greg",13,2,1,1,1,1,UCOL-1137,2005,20,20,False,False,0.5,2.0,14.250424,-1.890823
"molina cardenas, jaime",7,1,1,0,1,1,UCOL-1145,2013,12,10,False,False,0.0,2.0,6.0485735,-39.753834
"monrroy guizar, elisa",49,1,1,0,1,1,UCOL-1155,2008,17,15,False,False,0.0,2.0,37.0575,-28.913557
